#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-54.8441992,-68.4020805,3/8/05,69
penguin,-54.8718657,-67.9504395,9/15/05,259
penguin,-54.8441992,-68.4020805,12/12/05,347
penguin,-54.8718657,-67.9504395,1/9/06,9
penguin,-54.6666368,-68.5000148,2/7/06,37
penguin,-54.8718657,-67.9504395,1/2/07,2
penguin,-54.8095246,-68.3099974,1/24/07,24
penguin,-54.8718657,-68.0932617,11/2/07,307
penguin,-54.8481527,-68.2017517,2/11/08,41
penguin,-54.8951699,-67.5171661,2/6/08,36
penguin,-54.8753227,-67.3307419,12/1/08,336
penguin,-55.02017,-65.5591,1/8/09,8
penguin,-54.91937,-65.26609,1/8/09,8
penguin,-54.78364,-65.10088,1/8/09,8
penguin,-54.6422,-64.92181,1/8/09,8
penguin,-54.91937,-65.26609,1/8/09,8
penguin,-55.02017,-65.5591,1/8/09,8
penguin,-54.91937,-65.26609,1/8/09,8
penguin,-55.02017,-65.5591,1/8/09,8
penguin,-54.91937,-65.26609,1/8/09,8
penguin,-54.78364,-65.10088,1/8/09,8
penguin,-54.78364,-65.10088,1/8/09,8
penguin,-54.6422,-64.92181,1/8/09,8
penguin,-54.6422,-64.92181,1/8/09,8
penguin,-54.78364,-65.10088,1/8/09,8
penguin,-54.6422,-64.92181,1/8/09,8
penguin,-54.8718657,-67.9504395,2/11/09,41
